Date,Time,Arduino_Time_ms,BPM,Temperature_C
09-08-2026,00:38:17,0,0,25.9
09-08-2026,00:38:19,2001,0,25.9
09-08-2026,00:38:21,4003,0,26.0
09-08-2026,00:39:17,60012,0,25.9
09-08-2026,00:39:19,62015,0,25.9
09-08-2026,00:39:21,64017,61,26.0
09-08-2026,00:39:23,66020,59,25.9
09-08-2026,00:39:25,68022,53,25.9
09-08-2026,00:39:27,70025,56,25.9
09-08-2026,00:39:29,72027,54,25.9
09-08-2026,00:39:31,74030,47,26.0
09-08-2026,00:39:33,76032,46,26.0
09-08-2026,00:41:14,177041,95,26.0
09-08-2026,00:41:16,179043,81,25.9
09-08-2026,00:41:18,181046,81,25.9
09-08-2026,00:41:20,183048,81,25.9
09-08-2026,00:41:22,185051,35,26.0
09-08-2026,00:41:24,187053,42,26.0
